permno,ticker,company,start,end
10145.0,  HON, HONEYWELL INTERNATIONAL INC, 1959-06-01, 2008-02-19
10145.0,  HON, HONEYWELL INTERNATIONAL INC, 2020-08-31, 2021-01-01
12060.0,   GE, GENERAL ELECTRIC CO, 1959-06-01, 2018-06-26
14322.0,    S, SEARS ROEBUCK & CO, 1959-06-01, 1999-11-01
24643.0, ARNC, ALCOA INC, 1959-06-01, 2013-09-23
16109.0,   GF, GENERAL FOODS CORP, 1959-06-01, 1985-10-30
14541.0,  CVX, CHEVRON CORP, 1959-06-01, 1999-11-01
14541.0,  CVX, CHEVRON CORP, 2008-02-19, 2021-01-01
10241.0,   AC, AMERICAN CAN CO, 1959-06-01, 1991-05-06
12079.0,   GM, GENERAL MOTORS CORP, 1959-06-01, 2009-06-08
11850.0,  XOM, EXXON MOBIL CORP, 1959-06-01, 2020-08-31
10401.0,    T, AT&T CORP, 1959-06-01, 2004-04-08
66093.0,    T, AT&T INC, 1999-11-01, 2015-03-19
16432.0,   GT, GOODYEAR TIRE & RUBBER CO, 1959-06-01, 1999-11-01
19713.0,  ESM, ESMARK INC, 1959-06-01, 1979-06-29
10225.0, BEAM, BEAM INC, 1959-06-01, 1985-10-30
12503.0,  NAV, NAVISTAR INTERNATIONAL CORP, 1959-06-01, 1991-05-06
14736.0,   TX, TEXACO INC, 1959-06-01, 1997-03-17
10495.0,    A, ANACONDA CO, 1959-06-01, 1976-08-09
12546.0,    N, INCO LTD, 1959-06-01, 1987-03-12
15659.0,   UK, UNION CARBIDE CORP, 1959-06-01, 1999-11-01
10786.0,   BS, BETHLEHEM STEEL CORP, 1959-06-01, 1997-03-17
21573.0,   IP, INTERNATIONAL PAPER CO, 1959-06-01, 2004-04-08
17830.0,  UTX, UNITED TECHNOLOGIES CORP, 1959-06-01, 2020-08-31
11260.0,    C, CHRYSLER CORP, 1959-06-01, 1979-06-29
16707.0,  MAN, MANVILLE CORP, 1959-06-01, 1982-08-30
15069.0,    X, UNITED STATES STEEL CORP, 1959-06-01, 1991-05-06
18428.0a,  DOW, DOW INC, 1956-06-01, 2021-01-01
13661.0,   OI, OWENS ILLINOIS INC, 1959-06-01, 1987-03-12
15368.0,   WX, WESTINGHOUSE ELECTRIC CORP, 1959-06-01, 1997-03-17
11754.0,   EK, EASTMAN KODAK CO, 1959-06-01, 2004-04-08
18163.0,   PG, PROCTER & GAMBLE CO, 1959-06-01, 2021-01-01
15456.0,   FL, FOOT LOCKER INC, 1959-06-01, 1997-03-17
22592.0,  MMM, 3M CO, 1976-08-09, 2021-01-01
12490.0,  IBM, INTERNATIONAL BUSINESS MACHS CO, 1979-06-29, 2021-01-01
22752.0,  MRK, MERCK & CO INC, 1979-06-29, 2021-01-01
59176.0,  AXP, AMERICAN EXPRESS CO, 1982-08-30, 2021-01-01
13901.0,   MO, ALTRIA GROUP INC, 1985-10-30, 2008-02-19
43449.0,  MCD, MCDONALDS CORP, 1985-10-30, 2021-01-01
19561.0,   BA, BOEING CO, 1987-03-12, 2021-01-01
11308.0,   KO, COCA COLA CO., 1987-03-12, 2021-01-01
18542.0,  CAT, CATERPILLAR INC, 1991-05-06, 2021-01-01
47896.0,  JPM, JPMORGAN CHASE & CO, 1991-05-06, 2021-01-01
26403.0,  DIS, DISNEY WALT CO, 1991-05-06, 2021-01-01
27828.0,  HPQ, H P INC, 1997-03-17, 2013-09-23
70519.0,    C, CITIGROUP INC, 1997-03-17, 2009-06-08
22111.0,  JNJ, JOHNSON & JOHNSON, 1997-03-17, 2021-01-01
55976.0,  WMT, WALMART INC, 1997-03-17, 2021-01-01
10107.0, MSFT, MICROSOFT CORP, 1999-11-01, 2021-01-01
66181.0,   HP, HOME DEPOT INC, 1999-11-01, 2021-01-01
59328.0, INTC, INTEL CORP, 1999-11-01, 2021-01-01
21936.0,  PFE, PFIZER INC, 2004-04-08, 2020-08-31
66800.0,  AIG, AMERICAN INTERNATIONAL GROUP IN, 2004-04-08, 2008-09-22
65875.0,   VZ, VERIZON COMMUNICATIONS INC, 2004-04-08, 2021-01-01
59408.0,  BAC, BANK OF AMERICA CORP, 2008-02-19, 2013-09-23
89006.0,  KFT, KRAFT FOODS INC, 2008-09-22, 2012-09-24
59459.0,  TRV, TRAVELERS COMPANIES INC, 2009-06-08, 2021-01-01
76076.0, CSCO, CISCO SYSTEMS INC, 2009-06-08, 2021-01-01
92655.0,  UNH, UNITEDHEALTH GROUP INC, 2012-09-24, 2021-01-01
57665.0,  NKE, NIKE INC, 2013-09-23, 2021-01-01
86868.0,   GS, GOLDMAN SACHS GROUP INC, 2013-09-23, 2021-01-01
92611.0,    V, VISA INC, 2013-09-23, 2021-01-01
14593.0, AAPL, APPLE INC, 2015-03-19, 2021-01-01
19502.0,  WBA, WALGREENS BOOTS ALLIANCE INC, 2018-06-26, 2021-01-01
14008.0, AMGN, AMGEN INC, 2020-08-31, 2021-01-01
90215.0,  CRM, SALESFORCE COM INC, 2020-08-31, 2021-01-01
