Date,SPX,RTY,M1EA,EM,XAU,SPGSCI,LF98TRUU,LBUSTRUU,FNERTR
1988-01-29,257.47,398.84,1217.73,109.42,458,166.63,180.76,332.76,846.49
1988-02-29,269.47,434.79,1298.94,109.68,426.15,163.79,186.61,336.71,878.86
1988-03-31,261.15,455.12,1378.76,120.64,456.95,171.2,184.67,333.55,883.23
1988-04-29,264.04,465.47,1398.77,126.27,449,175.01,186.08,331.75,889.37
1988-05-31,266.32,452.96,1353.95,129.62,455.5,177.99,186.36,329.52,876.25
1988-06-30,278.54,485.26,1318.27,133.71,436.55,171.27,189.08,337.47,906.69
1988-07-29,277.49,480.65,1359.63,129.92,436.8,169.45,190.32,335.7,916.38
1988-08-31,268.07,468.4,1271.23,125.92,427.75,167.56,190.04,336.58,912.1
1988-09-30,279.49,480.82,1326.76,133.74,397.7,162.18,192.43,344.2,917.24
1988-10-31,287.27,475.49,1440.3,132.54,412.4,166.99,194.76,350.68,913.22
1988-11-30,283.18,459.73,1526.09,131.76,422.6,174.01,195.91,346.42,894.73
1988-12-30,288.12,477.78,1534.57,134.87,410.25,184.41,196.83,346.81,910.73
1989-01-31,309.21,499.12,1561.6,132.66,394,181.64,200.3,351.8,930.92
1989-02-28,301.51,502.76,1569.63,142.52,387,186.39,200.74,349.25,928.15
1989-03-31,308.54,514.62,1538.82,155.99,383.2,197.62,199.17,350.76,932.46
1989-04-28,324.56,537.08,1553.09,184.24,377.55,197.61,200.01,358.1,958.81
1989-05-31,337.69,560.21,1468.57,186.08,361.8,188.54,203.89,367.51,967.76
1989-06-30,335.78,547.4,1443.88,163.28,373,189.27,206.42,378.7,986.52
1989-07-31,366.1,568.55,1625.19,173.49,368.3,179.55,206.15,386.75,1022.98
1989-08-31,373.25,582.41,1552.1,177,359.8,183.95,206.85,381.02,1032.42
1989-09-29,371.74,584.26,1622.77,198.98,366.5,193.22,203.37,382.97,1022.76
1989-10-31,363.11,549.68,1557.56,201.31,375.3,189.81,198.55,392.4,996.38
1989-11-30,370.51,553.37,1635.85,191.64,408.15,192.05,198.16,396.14,993.25
1989-12-29,379.41,555.48,1696.26,214.7,401.25,207.25,198.47,397.2,991.26
1990-01-31,353.94,506.95,1633.15,221.27,415.05,198.83,194.21,392.48,950.14
1990-02-28,358.5,522.69,1519.16,229.76,407.7,195.94,190.2,393.75,943.47
1990-03-30,368,543.02,1360.86,197.85,368.5,198.61,195.19,394.04,952.88
1990-04-30,358.81,525.29,1350.06,210.66,367.75,193.94,194.86,390.43,936.32
1990-05-31,393.8,562.47,1504.15,227.6,363.05,189.81,198.62,401.99,935.6
1990-06-29,391.14,563.61,1490.88,235.14,352.2,184.18,203.42,408.44,951.76
1990-07-31,389.89,538.82,1511.88,255.21,372.3,196.8,208.9,414.09,943.09
1990-08-31,354.65,467.06,1365.08,221.94,387.75,225.45,197.01,408.56,875.17
1990-09-28,337.39,425.73,1174.84,193.09,408.4,270.19,182.63,411.94,813.28
1990-10-31,335.95,399.74,1357.87,189.25,379.5,249.37,173.04,417.17,785.86
1990-11-30,357.67,430.22,1277.75,178.96,384.85,227.61,178.44,426.15,841.63
1990-12-31,367.63,447.29,1298.54,185.16,382.8,219.97,179.44,432.79,839.09
1991-01-31,383.64,487.74,1340.5,200.19,366,194.448,184.37,438.14,930.88
1991-02-28,411.08,542.13,1484.18,229.63,362.7,191.234,204.54,441.88,947.73
1991-03-29,421.03,580.29,1395.06,238.23,355.65,194.126,216.59,444.92,1029.89
1991-04-30,422.03,578.83,1408.79,238.95,357.75,195.998,225.47,449.74,1055.97
1991-05-31,440.24,606.42,1423.53,256.97,360.4,192.89,225.88,452.37,1067.71
1991-06-28,420.07,571.08,1318.94,247.27,368.35,185.447,232.56,452.14,1037.91
1991-07-31,439.65,591.12,1383.73,259.51,362.85,191.888,240,458.41,1058.85
1991-08-30,450.06,613,1355.59,264.27,347.4,192.642,245.52,468.33,1054.57
1991-09-30,442.53,617.8,1432.01,253.84,354.9,193.928,248.94,477.82,1080.39
1991-10-31,448.48,634.14,1452.29,263.96,357.45,198.551,257.25,483.14,1068.52
1991-11-29,430.41,604.81,1384.48,259.77,366.3,190.104,258.59,487.57,1062.58
1991-12-31,479.63,653.24,1456.01,288.8,353.15,176.918,262.31,502.05,1138.61
1992-01-31,470.7,706.17,1424.93,322.13,354.1,182.353,271.55,495.22,1194.06
1992-02-28,476.79,726.77,1373.93,335.97,353.75,181.778,278.25,498.44,1165.5
1992-03-31,467.52,702.17,1283.22,346.58,341.7,184.737,281.7,495.63,1146.15
1992-04-30,481.25,677.57,1289.26,342.45,336.35,190.12,282.77,499.21,1142.08
1992-05-29,483.6,686.58,1375.55,340.42,337.5,193.019,286.76,508.63,1191.99
1992-06-30,476.41,654.11,1310.35,305.52,343.4,190.887,289.46,515.63,1176.38
1992-07-31,495.87,676.87,1276.82,308.38,357.85,186.692,293.83,526.15,1227.49
1992-08-31,485.72,657.77,1356.9,293.44,342,186.4,297.68,531.48,1231.27
1992-09-30,491.43,672.94,1330.1,294.07,350,187.047,300.71,537.79,1256.65
1992-10-30,493.13,694.33,1260.33,309.63,341,182.408,296.47,530.65,1255.04
1992-11-30,509.92,747.46,1272.19,306.06,336,180.096,300.2,530.77,1281.6
1992-12-31,516.18,773.5,1278.77,314.93,334.5,181.006,303.63,539.21,1304.73
1993-01-29,520.49,799.68,1278.62,316.19,332.5,183.348,312.46,549.55,1388.46
1993-02-26,527.59,781.21,1317.24,321.23,329.5,186.501,317.97,559.17,1463.11
1993-03-31,538.72,806.56,1432.06,331.3,339,190.171,322.06,561.5,1587.08
1993-04-30,525.7,784.42,1567.96,337.12,356,187.666,324.87,565.41,1517.18
1993-05-31,539.76,819.13,1601.08,345.39,374.75,181.216,328.73,566.13,1493.13
1993-06-30,541.34,824.24,1576.1,354.82,378.1,175.97,335.63,576.39,1541.53
